model,target_length,metric,point,ci_low,ci_high,stderr,n,method
Progressive DPLM-2 Bit,400,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
Progressive DPLM-2 Bit,500,ca_rmsd,109.02856308753118,101.6922625714959,116.22875640789309,3.6906492654161793,50,bootstrap_samples
Progressive DPLM-2 Bit,500,bb_tmscore,0.31922837544133564,0.30383886345322103,0.3353822948114426,0.008067913186044579,50,bootstrap_samples
Progressive DPLM-2 Bit,500,mean_plddt,64.7582511138916,63.14836704254151,66.40210329437255,0.8216538756328202,50,bootstrap_samples
Progressive DPLM-2 Bit,500,designable,0.02,0.0,0.06,0.01997969403256033,50,bootstrap_samples
DPRM-DPLM-2 Bit,100,ca_rmsd,32.333241499671274,31.931699232100556,32.64122718708034,0.18508270883806235,50,bootstrap_samples
DPRM-DPLM-2 Bit,100,bb_tmscore,0.6402314709983443,0.6370974566965251,0.6436933620674022,0.0016604788073957151,50,bootstrap_samples
DPRM-DPLM-2 Bit,100,mean_plddt,82.6507290649414,80.42341089248657,83.99728791046142,0.9888464693923551,50,bootstrap_samples
DPRM-DPLM-2 Bit,100,designable,1.0,1.0,1.0,0.0,50,bootstrap_samples
DPRM-DPLM-2 Bit,200,ca_rmsd,74.64296592927838,71.34394012146592,77.26547036983962,1.4649304354022925,50,bootstrap_samples
DPRM-DPLM-2 Bit,200,bb_tmscore,0.5827237910332137,0.5670497323937967,0.592490328244184,0.006934506402785419,50,bootstrap_samples
DPRM-DPLM-2 Bit,200,mean_plddt,80.56662910461426,78.25923485946656,82.29413889312744,1.0670746941536176,50,bootstrap_samples
DPRM-DPLM-2 Bit,200,designable,0.98,0.94,1.0,0.019965116207351134,50,bootstrap_samples
DPRM-DPLM-2 Bit,300,ca_rmsd,96.69184537758882,86.15749280220638,106.64394643203292,5.269074492225574,50,bootstrap_samples
