suite,task,subset,model,metric,point,ci_low,ci_high,stderr,n,method
DMPO,math,overall,DMPO-DPRM,pass@4,0.502,0.458,0.544,0.022314543758110473,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@8,0.568,0.522,0.61,0.02224323951633024,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@16,0.634,0.59,0.674,0.021633694060509905,500,bootstrap
DMPO,math,overall,DMPO-DPRM,pass@32,0.678,0.636,0.718,0.02097427106169158,500,bootstrap
DMPO,math,overall,DMPO-DPRM,avg_pass@K,0.5253333333333333,0.48666666666666664,0.5623416666666666,0.019174953940856002,500,bootstrap
DMPO,countdown,overall,Base Model,pass@1,0.1134765625,0.10487792968750001,0.12227050781249993,0.004442857265358902,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@2,0.1865234375,0.1759765625,0.1974609375,0.0055394460876305035,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@4,0.2763671875,0.2638671875,0.2890625,0.006417824766311326,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@8,0.3673828125,0.3541015625,0.380859375,0.006851611234808849,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@16,0.4478515625,0.433984375,0.46171875,0.007052649064166553,5120,bootstrap
DMPO,countdown,overall,Base Model,pass@32,0.52265625,0.5083984375,0.5361376953124999,0.007041208036514765,5120,bootstrap
DMPO,countdown,overall,Base Model,avg_pass@K,0.31904296875,0.30891845703125,0.32932942708333335,0.005247983083164073,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@1,0.015625,0.0123046875,0.0189453125,0.0017131893191288208,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@2,0.029296875,0.024609375,0.033984375,0.0023694097328356848,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@4,0.05,0.044140625,0.05625,0.0030566172417644815,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@8,0.0787109375,0.0716796875,0.086328125,0.0037522034645161247,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@16,0.1228515625,0.113671875,0.1318359375,0.004647988756603758,5120,bootstrap
DMPO,countdown,overall,DMPO,pass@32,0.1705078125,0.1599609375,0.180859375,0.005310185142053642,5120,bootstrap
DMPO,countdown,overall,DMPO,avg_pass@K,0.07783203125,0.07223307291666665,0.08349609375,0.002875146783965528,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@1,0.3703125,0.35703125,0.3830078125,0.0067205045731689094,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@2,0.45078125,0.437109375,0.4642578125,0.0069292591482703406,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@4,0.5134765625,0.4994140625,0.5267578125,0.006956922225309975,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@8,0.5724609375,0.55859375,0.585546875,0.00689510820485731,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@16,0.625,0.611328125,0.6380859375,0.006780703752390087,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,pass@32,0.6705078125,0.65703125,0.68359375,0.00663171700574457,5120,bootstrap
DMPO,countdown,overall,Progressive DMPO,avg_pass@K,0.5337565104166667,0.5213850911458333,0.54567138671875,0.006088522238731915,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@1,0.3328125,0.31953125,0.34570800781249994,0.006677571829487754,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@2,0.4392578125,0.4251953125,0.45234375,0.006962890188431695,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@4,0.5265625,0.5122998046875,0.5404296875,0.007148485110008125,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@8,0.6025390625,0.5888671875,0.61640625,0.006985992097308532,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@16,0.6744140625,0.6615234375,0.6873046875,0.006574601868534731,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,pass@32,0.7271484375,0.7152294921875,0.7390673828124998,0.006211503052185897,5120,bootstrap
DMPO,countdown,overall,DMPO-DPRM,avg_pass@K,0.5504557291666666,0.5388346354166668,0.5618497721354166,0.005854312466179198,5120,bootstrap
DMPO,gsm8k,overall,Progressive DMPO - DMPO,avg_pass@K_delta,0.006444275966641395,-0.003917108920899671,0.017058377558756634,0.005364126151416274,1319,paired_bootstrap
DMPO,gsm8k,overall,DMPO-DPRM - Progressive DMPO,avg_pass@K_delta,-0.0005054334091483446,-0.010866818296689411,0.009732752084912769,0.005318276987509752,1319,paired_bootstrap
DMPO,math,overall,Progressive DMPO - DMPO,avg_pass@K_delta,0.029666666666666664,0.0020000000000000026,0.05966666666666667,0.014678396334651983,500,paired_bootstrap
DMPO,math,overall,DMPO-DPRM - Progressive DMPO,avg_pass@K_delta,0.02433333333333333,-0.0003333333333333304,0.049,0.012438897709993936,500,paired_bootstrap
DMPO,countdown,overall,Progressive DMPO - DMPO,avg_pass@K_delta,0.4559244791666667,0.4444327799479167,0.46689534505208335,0.005710545442186006,5120,paired_bootstrap
DMPO,countdown,overall,DMPO-DPRM - Progressive DMPO,avg_pass@K_delta,0.016699218749999998,0.008430989583333331,0.025228678385416654,0.004317063858731767,5120,paired_bootstrap
